제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),설치타입,도어 개수,전체 용량(L),냉장 용량(L),냉동 용량(L),제품 크기(mm),무게(kg),색상,도어 재질,냉각방식,스마트 진단,아이스메이커,제품 사용 설명서
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10411835/gallery/medium-interior01.jpg,"3,941,000원",1등급,43.3,프리스탠딩,4도어,860,498,362,"914 x 1,860 x 918",161,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=j2dlBOwBTpkYaNKbPEeCA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10411833/gallery/medium-interior01.jpg,"4,052,000원",2등급,56.3,프리스탠딩,4도어,860,498,362,"914 x 1,860 x 918",155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=j2dlBOwBTpkYaNKbPEeCA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10449865/gallery/medium-interior01.jpg,,2등급,56.3,프리스탠딩,4도어,860,498,362,"914 x 1,860 x 918",155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=j2dlBOwBTpkYaNKbPEeCA
LG 디오스 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10449868/gallery/medium-interior01.jpg,,1등급,43.3,프리스탠딩,4도어,860,498,362,"914 x 1,860 x 918",161,오브제컬렉션 베이지 / 클레이 브라운,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=j2dlBOwBTpkYaNKbPEeCA
LG 디오스 AI 오브제컬렉션 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10681841/gallery/medium-interior01.jpg,"3,200,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,860 x 918",155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=LuQhmLf8ZMxg8pHShCqA
LG 디오스 AI 오브제컬렉션 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10681838/gallery/medium-interior01.jpg,"3,670,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,860 x 918",155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,X 제공안함,
LG 디오스 AI 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10681835/gallery/medium-interior01.jpg,"3,774,000원",1등급,43.7,프리스탠딩,4도어,870,503,367,"914 x 1,860 x 918",156,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10681831/gallery/medium-interior01.jpg,"4,010,000원",1등급,43.3,프리스탠딩,4도어,860,498,362,"914 x 1,860 x 918",166,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",
LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10681829/gallery/medium-interior01.jpg,"4,120,000원",2등급,56.3,프리스탠딩,4도어,860,498,362,"914 x 1,860 x 918",155,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,"오토 아이스메이커, 아이스 트레이",https://gscs-b2c.lge.com/open/downloadFile?fileId=j2dlBOwBTpkYaNKbPEeCA
LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10559843/gallery/medium-interior01.jpg,,2등급,50.0,프리스탠딩,2도어,810,524,286,"913 x 1,790 x 913",128,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,O 있음,X 제공안함,https://gscs-b2c.lge.com/open/downloadFile?fileId=m7n5HRb3XgGkpkMUGV1ojA
"LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559842/gallery/medium-interior01.jpg,,2등급,50.0,프리스탠딩,2도어,810,524,286,"913 x 1,790 x 913",134,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,O 있음,X 제공안함,https://gscs-b2c.lge.com/open/downloadFile?fileId=m7n5HRb3XgGkpkMUGV1ojA
"LG 디오스 AI 오브제컬렉션 STEM 얼음정수 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559842/gallery/medium-interior01.jpg,,2등급,50.0,프리스탠딩,2도어,810,524,286,"913 x 1,790 x 913",134,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,O 있음,X 제공안함,
LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10449858/gallery/medium-interior01.jpg,,2등급,54.5,프리스탠딩,4도어,820,458,362,"914 x 1,860 x 918",176,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=otHUga2ig4bN1Pyigc1zw
LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고 (노크온 매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10409827/gallery/medium-interior01.jpg,,2등급,54.5,프리스탠딩,4도어,820,458,362,"914 x 1,860 x 918",182,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=otHUga2ig4bN1Pyigc1zw
LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10449862/gallery/medium-interior01.jpg,,2등급,54.5,프리스탠딩,4도어,820,458,362,"914 x 1,792 x 918",158,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=LjEZy1YwVbNnxxG4nK1w
LG 디오스 오브제컬렉션 STEM 얼음정수 냉장고 (매직스페이스),https://www.lge.co.kr/kr/images/refrigerators/md10411829/gallery/medium-interior01.jpg,,2등급,54.5,프리스탠딩,4도어,820,458,362,"914 x 1,792 x 918",165,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,O 있음,오토 아이스메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=LjEZy1YwVbNnxxG4nK1w
LG SIGNATURE 얼음정수 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md08044485/gallery/medium-interior01.jpg,,3등급 56.6 kWh/월,3등급 56.6 kWh/월,,,840,505,335,"912 X 1,784 X 929",235kg,샤이니 유니버스,스테인리스,,O 있음,O (오토) 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=I7KtMBaYqz2cKi6pduRFpQ
LG 모던엣지 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09091857/gallery/medium-interior01.jpg,"980,000원",1등급,28.8,,,300,201,,"595 X 1,720 X 677",62,샤인,,멀티냉각방식,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=GJow7imGxpMsNtHlSMWhw
LG 모던엣지 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10366874/gallery/medium-interior01.jpg,"980,000원",4등급,31.9,프리스탠딩,2도어,344,234,110,"595 x 1,860 x 682",71,몽블랑 네이처,메탈,멀티냉각방식,O 있음,X 제공안함,https://gscs-b2c.lge.com/open/downloadFile?fileId=j6HTy8UONiTXGoIKsJtmmQ
LG SIGNATURE 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09911826/gallery/medium-interior01.jpg,,3등급,30.3,LG SIGNATURE,,403,291,112,"700 x 1,793 x 735",167,난방향 스테인리스,스테인리스,,O 있음,,
LG 모던엣지 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10672827/gallery/medium-interior01.jpg,"1,300,000원",3등급,34.9,프리스탠딩,2도어,462,329,133,"705 x 1,850 x 740",84,프라임 실버,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,
LG 디오스 오브제컬렉션 냉장고 Fit & Max (본체),https://www.lge.co.kr/kr/images/refrigerators/md10522834/gallery/medium01.jpg,,2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",122,패널 선택 필요,,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
LG 디오스 오브제컬렉션 냉장고 Fit & Max (본체),https://www.lge.co.kr/kr/images/refrigerators/md10522833/gallery/medium01.jpg,,2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",123,패널 선택 필요,,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555922/gallery/medium-interior01.jpg,"3,450,000원",2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",136,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555932/gallery/medium-interior01.jpg,"3,050,000원",2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",133,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,아이스 트레이,
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555924/gallery/medium-interior01.jpg,"3,850,000원",2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",129,오브제컬렉션 그린 / 실버,스테인리스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
LG 디오스 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10555923/gallery/medium-interior01.jpg,"3,850,000원",2등급,32.9,Fit & Max,4도어,504,300,204,"835 x 1,860 x 685",129,오브제컬렉션 실버 / 실버,스톤 (스테인리스),멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=3qqiH6grIMMQpHIIwB4crw
LG 디오스 AI 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10635852/gallery/medium01.jpg,,1등급,29.5,Fit & Max,4도어,609,380,229,"914 x 1,860 x 698",132,패널 선택 필요,,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 AI 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10635849/gallery/medium-interior01.jpg,"4,218,000원",1등급,29.5,Fit & Max,4도어,609,380,229,"914 x 1,860 x 698",146,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 AI 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10635853/gallery/medium-interior01.jpg,"3,750,000원",1등급,29.5,Fit & Max,4도어,609,380,229,"914 x 1,860 x 698",144,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 AI 오브제컬렉션 냉장고 Fit & Max,https://www.lge.co.kr/kr/images/refrigerators/md10635855/gallery/medium-interior01.jpg,"3,350,000원",1등급,29.5,Fit & Max,4도어,609,380,229,"914 x 1,860 x 698",140,오브제컬렉션 에센스 화이트 / 에센스 화이트,메탈,멀티냉각방식,O 있음,아이스 트레이,https://gscs-b2c.lge.com/open/downloadFile?fileId=Dcda4GSDyDAzSHJEoaNHAw
LG 디오스 오브제컬렉션 빌트인 타입 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09053846/gallery/medium-interior01.jpg,,2등급 39kWh/월,2등급 39kWh/월,,,613,384,229,"914 x 1,860 x 698",142,오브제컬렉션 클레이 브라운 / 베이지,글라스,,O 있음,,
LG 디오스 오브제컬렉션 빌트인 타입 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09053854/gallery/medium-interior01.jpg,,2등급 39kWh/월,2등급 39kWh/월,,,613,384,229,"914 x 1,860 x 698",138,오브제컬렉션 그레이 / 블랙,메탈,,O 있음,,https://gscs-b2c.lge.com/open/downloadFile?fileId=wUJir3fhRlzj52rmIVSOA
LG 디오스 오브제컬렉션 냉장고 Fit & Max (본체),https://www.lge.co.kr/kr/images/refrigerators/md10540850/gallery/medium01.jpg,,2등급,38.0,Fit & Max,4도어,613,384,229,"914 x 1,860 x 698",129,패널 선택 필요,,멀티냉각방식,O 있음,아이스 트레이,
