product_code,resol_code,name,img_link,price,proficiency_level,power_consum(W),screen_size(cm),display_type,ref_rate(Hz),os_type,speaker_output(W),width(mm),height(mm),depth(mm),weight(kg),manual_link
TVT149,RES000,LG 올레드 evo AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10570840/gallery/medium-interior01.jpg,2690000.0,4.0,0.5,138.0,올레드,144.0,webOS 25,20.0,1222.0,703.0,45.0,14.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=jYkYbIhvnYcMDYCjgqw
TVT150,RES000,LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770847/gallery/medium-interior01.jpg,2989000.0,4.0,0.5,138.0,올레드,165.0,webOS 26,40.0,1222.0,703.0,45.0,14.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=DVAyyHUed9QuSNm70kds8w
TVT151,RES000,LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770835/gallery/medium-interior01.jpg,3689000.0,4.0,0.5,138.0,올레드,165.0,webOS 26,60.0,1222.0,703.0,27.0,16.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=lxOzlqhSFCcabquZknjQ
TVT152,RES000,LG 올레드 TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10402843/gallery/medium02.jpg,,4.0,0.5,163.0,올레드,60.0,webOS 23,20.0,1449.0,832.0,45.0,17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Zm3T57jrMBhFrPcRn0V8g
TVT153,RES000,LG 올레드 TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10212827/gallery/medium-interior01.jpg,,4.0,0.5,163.0,올레드,120.0,webOS 22,20.0,1449.0,832.0,46.0,24.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=v4iyH7IzMD8a5lVjNQftSQ
TVT154,RES000,LG 올레드 TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10319944/gallery/medium-interior01.jpg,2890000.0,4.0,0.5,163.0,올레드,120.0,webOS 24,20.0,1449.0,832.0,45.0,17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=KYCvSa9vIM46l3e9Yf4w
TVT155,RES000,LG 올레드 TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10715837/gallery/medium02.jpg,,4.0,0.5,163.0,올레드,120.0,webOS 24,20.0,1449.0,832.0,45.0,17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=DtI2hD24st9SRJPuyQLHw
TVT156,RES000,LG 올레드 TV (스탠드형) + LG 스탠바이미 2,https://www.lge.co.kr/kr/images/tvs/md10720841/gallery/medium01.jpg,4180000.0,4.0,0.5,163.0,올레드,120.0,webOS 24,20.0,1449.0,832.0,45.0,17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=BR3nqIXzkZe6F7DPU2FVWg
TVT157,RES000,LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573839/gallery/medium-interior01.jpg,2900000.0,4.0,0.5,163.0,올레드,120.0,webOS 25,20.0,1449.0,832.0,45.0,17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=m5GauN7RPcsHZ2Br804rg
TVT158,RES000,LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573839/gallery/medium-interior01.jpg,,4.0,0.5,163.0,올레드,120.0,webOS 25,20.0,1449.0,832.0,45.0,17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=QlxCwlM9tDhGOceqga3rvA
