product_code,name,img_link,price,proficiency_level,power_consum(W),install_type,door_cnt,total_cap(L),refrige_cap(L),freeze_cap(L),width(mm),height(mm),depth(mm),weight(kg),color,door_type,cool_type,smart_diag,ice_maker,manual_link
REF181,LG 디오스 AI 오브제컬렉션 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10559870/gallery/medium-interior01.jpg,1600000,3,52.5,프리스탠딩,2,661,421,240,913,1790,735,101,프라임 실버,메탈,멀티냉각방식,1,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=e00FChgWxxEwQYKHzDntRA
REF182,LG 디오스 AI 오브제컬렉션 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10559869/gallery/medium-interior01.jpg,1900000,3,52.5,프리스탠딩,2,652,413,239,913,1790,735,108,프라임 실버,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=khFdukaNknYj63k7BczIw
REF183,LG 디오스 오브제컬렉션 매직스페이스 냉장고,https://www.lge.co.kr/kr/images/refrigerators/md09084835/gallery/medium-interior01.jpg,2553000,2,46.7,,,832,524,308,913,1790,913,137,오브제컬렉션 베이지 / 베이지,미스트 (글라스),,1,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=fyN8Fmbfo9ACt8EsWzImmg
REF184,"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10635830/gallery/medium-interior01.jpg,2250000,1,40.2,프리스탠딩,2,832,524,308,913,1790,913,145,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=fyN8Fmbfo9ACt8EsWzImmg
REF185,"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10635828/gallery/medium-interior01.jpg,2609000,1,40.2,프리스탠딩,2,832,524,308,913,1790,913,145,오브제컬렉션 베이지 베이지,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=fyN8Fmbfo9ACt8EsWzImmg
REF186,LG 디오스 AI 오브제컬렉션 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10635834/gallery/medium-interior01.jpg,2050000,1,40.2,프리스탠딩,2,832,524,308,913,1790,913,139,클레이 민트 / 베이지,메탈,멀티냉각방식,1,1,
REF187,"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559848/gallery/medium-interior01.jpg,2250000,2,51.5,프리스탠딩,2,832,524,308,913,1790,913,132,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
REF188,"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559847/gallery/medium-interior01.jpg,2350000,2,51.5,프리스탠딩,2,832,524,308,913,1790,913,132,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
REF189,"LG 디오스 AI 오브제컬렉션 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10559846/gallery/medium-interior01.jpg,2720000,2,51.5,프리스탠딩,2,832,524,308,913,1790,913,132,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,
REF190,"LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10741830/gallery/medium-interior01.jpg,2460000,2,51.8,프리스탠딩,2,827,524,303,913,1790,913,134,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=GvHc3SwDCDn55YmZZcWoBg
REF191,"LG 디오스 AI 오브제컬렉션 STEM 베이직 냉장고 (양문형, 매직스페이스)",https://www.lge.co.kr/kr/images/refrigerators/md10741829/gallery/medium-interior01.jpg,2831000,2,51.8,프리스탠딩,2,827,524,303,913,1790,913,134,오브제컬렉션 베이지 / 베이지,글라스,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=GvHc3SwDCDn55YmZZcWoBg
REF192,LG 디오스 AI 오브제컬렉션 냉장고 (양문형),https://www.lge.co.kr/kr/images/refrigerators/md10559863/gallery/medium-interior01.jpg,1750000,2,49.0,프리스탠딩,2,832,524,308,913,1790,913,120,오브제컬렉션 베이지 / 베이지,메탈,멀티냉각방식,1,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=ligy9hfMumSaMBuWNZFGrA
