product_code,name,img_link,price,proficiency_level,power_consum(W),washing_cap(kg),dryng_cap(kg),width(mm),height(mm),depth(mm),weight(kg),color,door_type,control_type,water_temp,spin_op,manual_link
WMT136,LG 통돌이 컴포트 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10607829/gallery/medium-interior01.jpg,1340000,2,500,23,,686,1092,721,57,오닉스 블랙,와이드 다이아몬드 글라스,다이얼+풀터치버튼 및 LCD+LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=sbeI1F2NzdUJd54A4ONsdA
WMT137,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09743826/gallery/medium-interior01.jpg,1260000,2,500,23,,690,1070,730,57,플래티늄 블랙,와이드 다이아몬드 글라스,풀터치버튼 및 LCD+LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=5gE333DaYsdulK19CvCMg
WMT138,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09789827/gallery/medium-interior01.jpg,1260000,2,500,23,,690,1070,730,57,플래티넘 블랙,와이드 다이아몬드 글라스,풀터치버튼 및 LCD+LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=5gE333DaYsdulK19CvCMg
WMT139,LG 통돌이 컴포트 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10646828/gallery/medium-interior01.jpg,1440000,2,500,25,,686,1092,721,59,오닉스 블랙,와이드 다이아몬드 글라스,다이얼+풀터치버튼 및 LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=IsD2DXDOPkQCg8ZaZELV3A
WMT140,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10010829/gallery/medium-interior01.jpg,1340000,2,1500,25,,690,1070,730,59,플래티늄 블랙,와이드 다이아몬드 글라스,풀터치버튼 및 LCD+LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=8BEhXdYgCiuoMF9R5Fmg
WMT141,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10010834/gallery/medium-interior01.jpg,1340000,2,1500,25,,690,1070,730,59,플래티늄 블랙,와이드 다이아몬드 글라스,풀터치버튼 및 LCD+LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=8BEhXdYgCiuoMF9R5Fmg
WMT142,LG 통돌이 컴포트 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10517831/gallery/medium-interior01.jpg,1640000,2,1500,25,,686,1092,721,59,에센스 그라파이트,와이드 다이아몬드 글라스,다이얼+풀터치버튼 및 LCD+LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Q7upFLzaTry7nV4XROMgw
WMT143,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10474828/gallery/medium-interior01.jpg,429000,2,300,10,,590,960,606,38,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=gh8KEL9WS1uDwV35PZVFCA
WMT144,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10708830/gallery/medium-interior01.jpg,527000,2,300,10,,590,965,610,39,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Y9UM2EXARhv2rQ8piRozA
WMT145,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10744826/gallery/medium-interior01.jpg,516000,2,300,10,,590,965,610,39,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Y9UM2EXARhv2rQ8piRozA
