제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),세탁 용량(kg),건조 용량(kg),크기(mm),무게(kg),색상,도어 디자인,조작 및 표현방식,물온도,탈수선택,제품 사용 설명서
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09769826/gallery/medium-interior01.jpg,"1,400,000원",1등급,"2,100",19,,700 x 990 x 770,92.0,화이트,"700 x 990 x 1,360",다이얼 + LED 터치 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=bzAl77mRj92E2ivWphyiqg
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09922828/gallery/medium-interior01.jpg,"1,600,000원",1등급,"2,100",21,,700 x 990 x 770,92.0,스테인리스 실버,"700 x 990 x 1,360",다이얼+터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=bzAl77mRj92E2ivWphyiqg
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09768828/gallery/medium-interior01.jpg,"1,550,000원",1등급,"2,100",21,,700 x 990 x 770,92.0,화이트,"700 x 990 x 1,360",다이얼 + LED 터치 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=bzAl77mRj92E2ivWphyiqg
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09922831/gallery/medium-interior01.jpg,,1등급,"2,100",21,,700 x 990 x 770,92.0,화이트,"700 x 990 x 1,360",다이얼+터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=bzAl77mRj92E2ivWphyiqg
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09922826/gallery/medium-interior01.jpg,"1,750,000원",1등급,"2,200",24,,700 x 990 x 830,92.0,스테인리스 실버,"700 x 990 x 1,410",다이얼+터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=bzAl77mRj92E2ivWphyiqg
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09922827/gallery/medium-interior01.jpg,"1,750,000원",1등급,"2,200",24,,700 x 990 x 830,92.0,스테인리스 실버,"700 x 990 x 1,410",다이얼+터치버튼 및 LED 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=bzAl77mRj92E2ivWphyiqg
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09767828/gallery/medium-interior01.jpg,"1,650,000원",1등급,"2,200",24,,700 x 990 x 830,92.0,화이트,"700 x 990 x 1,410",다이얼 + LED 터치 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=bzAl77mRj92E2ivWphyiqg
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09767827/gallery/medium-interior01.jpg,"1,650,000원",1등급,"2,200",24,,700 x 990 x 830,92.0,화이트,"700 x 990 x 1,410",다이얼 + LED 터치 디스플레이,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=bzAl77mRj92E2ivWphyiqg
LG 꼬망스 플러스,https://www.lge.co.kr/kr/images/washing-machines/md09229826/gallery/medium-interior01.jpg,"850,000원",2등급,"2,000 W",8,,600 × 850 × 475 mm,58 kg,모던 스테인리스,"600 x 850 x 1,015 mm",,"냉수, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=yLct5TXvXXEJ7XaIgtfHw
LG 꼬망스 플러스,https://www.lge.co.kr/kr/images/washing-machines/md09229826/gallery/medium-interior01.jpg,"900,000원",1등급,"2,000",8,,600 x 850 x 475,60.0,모던 스테인리스,"600 x 850 x 1,015",다이얼+터치버튼 및 LED 디스플레이,"냉수, 20, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=zu3rn1wPl1l4AgsOyb3A
LG 꼬망스 플러스,https://www.lge.co.kr/kr/images/washing-machines/md09268826/gallery/medium-interior01.jpg,"850,000원",1등급,"2,000",8,,600 x 850 x 475,60.0,화이트,"600 x 850 x 1,015",다이얼+터치버튼 및 LED 디스플레이,"냉수, 20, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=9PfX41ayKF2RH9RImtSNw
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09784829/gallery/medium-interior01.jpg,,3등급,냉수세탁 145 W / 삶는세탁 1840 W,9 kg,,600 X 825 X 550 mm,,화이트,"600 × 825 × 1,005 mm",,냉수 / 20 / 30 / 40 / 60 / 95 ℃,배수멈춤 / 탈수안함 / 약 / 중 / 강 / 최강,
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09784830/gallery/medium-interior01.jpg,,3등급,"2,100",9,,600 x 825 x 550,X 제공안함,화이트,원형 도어,다이얼 + LED 터치 디스플레이,"냉수, 20, 30, 40, 60, 95℃",O 있음,
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10374827/gallery/medium-interior01.jpg,"630,000원",2등급,"2,000",9,,600 x 850 x 550,55.0,화이트,"600x850x1,005",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 20, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=YTZpkXb3hY8i34KGKPqLQ
LG 트롬 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10374828/gallery/medium-interior01.jpg,"610,000원",2등급,"2,000",9,,600x825x550,53.0,화이트,"600x825x1,005",다이얼+풀터치버튼 및 LED 디스플레이,"냉수, 20, 30, 40, 60, 95℃",O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=GPTVVT8wITxbHeWAQIOYsA
